"Product Name","Category","Material Type","Style","Description","Available Sizes","Color Variants Count","Color Variants","Color Variants Detailed","Swatch Image URLs","Lifestyle / Room Image URLs","Price"
"Baltic","","Color Body Porcelain","INDUSTRIA L","Inspired by the windswept sands of the Baltic Sea, this collection reflects the understated beauty and tranquil essence of northern shores. Its earthy tones evoke a sense of warmth and harmony, while its versatile design ensures effortless installation on both floors and walls. Combining natural elegance with practicality, the collection brings timeless charm to any interior space.","12""x24"" R; 24""x48"" R; 12""x12""","6","Granite | Sand | Tan | Suite Sand | Suite Tan | Suite Granite","Granite [https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/baltic__granite__1.png] | Sand [https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/baltic__sand__1.png] | Tan [https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/baltic__tan__1.png] | Suite Sand [https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/baltic__suite-sand__1.png] | Suite Tan [https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/baltic__suite-tan__1.png] | Suite Granite [https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/baltic__suite-granite__1.png]","https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/baltic__granite__1.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/baltic__sand__1.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/baltic__tan__1.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/baltic__suite-sand__1.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/baltic__suite-tan__1.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/baltic__suite-granite__1.png","https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/lifestyle/baltic__lifestyle__1.jpg",""
"Bar Tile","","Ceramic Wall","HA NDMA DE","Bar tile is versatile, and adds a touch of personality to each space. With its bold colors, it's the perfect way to add some personality to your living space. It's also made with a unique variation that gives each tile its own special look.","3""x12""","5","Glasgow | Havre | Nuuk | Oslo | Lisbon","Glasgow [https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/bar-tile__glasgow__1.png] | Havre [https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/bar-tile__havre__1.png] | Nuuk [https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/bar-tile__nuuk__1.png] | Oslo [https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/bar-tile__oslo__1.png] | Lisbon [https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/bar-tile__lisbon__1.png]","https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/bar-tile__glasgow__1.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/bar-tile__havre__1.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/bar-tile__nuuk__1.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/bar-tile__oslo__1.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/bar-tile__lisbon__1.png","https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/lifestyle/bar-tile__lifestyle__1.jpg",""
"Block","","Glazed Porcelain","SOLID COLORS","","4""x24""; 5""x6"" Hexagon","6","Blanco | Gris | Acero | Verde | Azul | Negro","Blanco [https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/block__blanco__1.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/block__blanco__2.png] | Gris [https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/block__gris__1.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/block__gris__2.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/block__gris__3.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/block__gris__4.png] | Acero [https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/block__acero__1.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/block__acero__2.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/block__acero__3.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/block__acero__4.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/block__acero__5.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/block__acero__6.png] | Verde [https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/block__verde__1.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/block__verde__2.png] | Azul [https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/block__azul__1.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/block__azul__2.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/block__azul__3.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/block__azul__4.png] | Negro [https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/block__negro__1.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/block__negro__2.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/block__negro__3.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/block__negro__4.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/block__negro__5.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/block__negro__6.png]","https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/block__blanco__1.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/block__blanco__2.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/block__gris__1.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/block__gris__2.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/block__gris__3.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/block__gris__4.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/block__acero__1.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/block__acero__2.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/block__acero__3.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/block__acero__4.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/block__acero__5.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/block__acero__6.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/block__verde__1.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/block__verde__2.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/block__azul__1.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/block__azul__2.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/block__azul__3.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/block__azul__4.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/block__negro__1.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/block__negro__2.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/block__negro__3.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/block__negro__4.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/block__negro__5.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/block__negro__6.png","https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/lifestyle/block__lifestyle__1.jpg",""
"Boheme","","Glazed Porcelain","WOODS","The Boheme series offer the strength and practicality of porcelain. While echoing the natural beauty and character of hardwood, it is an ideal choice for spaces that seek to combine durability with the soulful warmth of a well-traveled path.","8""x35""","4","Walnut | Ivory | White | Natural","Walnut [https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/boheme__walnut__1.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/boheme__walnut__2.png] | Ivory [https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/boheme__ivory__1.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/boheme__ivory__2.png] | White [https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/boheme__white__1.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/boheme__white__2.png] | Natural [https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/boheme__natural__1.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/boheme__natural__2.png]","https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/boheme__walnut__1.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/boheme__walnut__2.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/boheme__ivory__1.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/boheme__ivory__2.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/boheme__white__1.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/boheme__white__2.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/boheme__natural__1.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/boheme__natural__2.png","https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/lifestyle/boheme__lifestyle__1.jpg",""
"Brickell","","Ceramic Wall","MARBLES - STONES - CONCRETES","A unique adaptation of brick. Our Brickell Collection is a ceramic wall tile with excellent definition and texture. The realism achieved with this product makes it extremely versatile and its neutral color palette allows you to create both rustic and modern spaces.","3""x12""","5","Antracita | Burnt | Taupe | Gris | Blanco","Antracita [https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/brickell__antracita__1.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/brickell__antracita__2.png] | Burnt [https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/brickell__burnt__1.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/brickell__burnt__2.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/brickell__burnt__3.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/brickell__burnt__4.png] | Taupe [https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/brickell__taupe__1.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/brickell__taupe__2.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/brickell__taupe__3.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/brickell__taupe__4.png] | Gris [https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/brickell__gris__1.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/brickell__gris__2.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/brickell__gris__3.png] | Blanco [https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/brickell__blanco__1.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/brickell__blanco__2.png]","https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/brickell__antracita__1.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/brickell__antracita__2.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/brickell__burnt__1.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/brickell__burnt__2.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/brickell__burnt__3.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/brickell__burnt__4.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/brickell__taupe__1.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/brickell__taupe__2.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/brickell__taupe__3.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/brickell__taupe__4.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/brickell__gris__1.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/brickell__gris__2.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/brickell__gris__3.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/brickell__blanco__1.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/brickell__blanco__2.png","https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/lifestyle/brickell__lifestyle__1.jpg",""
"CC Mosaics","","Glazed Porcelain Mosaics","MOSA ICS","Fun, versatile, colorful, mosaics have it all. The CC Mosaics collection will add an upbeat and dynamic flair to any room. Ideal for floor or wall applications, with these porcelain mosaics the possibilities are endless. Mix and match different colors or designs, let your imagination run loose and re-invent your space.","12""x12""; 9""x10""","0","","","","https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/lifestyle/cc-mosaics__lifestyle__1.jpg; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/lifestyle/cc-mosaics__lifestyle__2.jpg; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/lifestyle/cc-mosaics__lifestyle__3.jpg",""
"CC Mosaics +","","Glazed Porcelain Mosaics","MOSA ICS","An antique flair with a modern twist, let our CC Mosaics + take center stage in your next project. Available in a soft color palette, this series is sure to brighten any room. With the versatility offered by porcelain mosaics, this collection is ideal for a variety of applications.","12""x12""","0","","","","https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/lifestyle/cc-mosaics__lifestyle__1.jpg; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/lifestyle/cc-mosaics__lifestyle__2.jpg",""
"CC Porcelain","","Unglazed Porcelain Mosaics","MOSA ICS","A sober unglazed porcelain mosaic. Available in 4 neutral tones, which can be used in both commercial and residential projects.","12""x12""","0","","","","https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/lifestyle/cc-porcelain__lifestyle__1.jpg; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/lifestyle/cc-porcelain__lifestyle__2.jpg",""
"CC Textures","","Ceramic Wall","3 D - TEXTURES","Subway tile with a twist! Our CC Textures Collection adds depth and dimension to your walls. Whether you prefer beveled, reversed beveled or linear reliefs, this your walls, tile can certainly add a strong element of design and this collection is no exception!","4""x10""; 3""x6""; 10""x28""","8","White Ice Wavy | White Ice Beveled | Tender Gray Beveled | White Ice Waves | White Reverse Beveled | Tender Gray Reverse Beveled | Snow White Beveled | Biscuit Beveled","White Ice Wavy [https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__white-ice-wavy__1.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__white-ice-wavy__2.png] | White Ice Beveled [https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__white-ice-beveled__1.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__white-ice-beveled__2.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__white-ice-beveled__3.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__white-ice-beveled__4.png] | Tender Gray Beveled [https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__tender-gray-beveled__1.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__tender-gray-beveled__2.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__tender-gray-beveled__3.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__tender-gray-beveled__4.png] | White Ice Waves [https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__white-ice-waves__1.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__white-ice-waves__2.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__white-ice-waves__3.png] | White Reverse Beveled [https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__white-reverse-beveled__1.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__white-reverse-beveled__2.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__white-reverse-beveled__3.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__white-reverse-beveled__4.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__white-reverse-beveled__5.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__white-reverse-beveled__6.png] | Tender Gray Reverse Beveled [https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__tender-gray-reverse-beveled__1.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__tender-gray-reverse-beveled__2.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__tender-gray-reverse-beveled__3.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__tender-gray-reverse-beveled__4.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__tender-gray-reverse-beveled__5.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__tender-gray-reverse-beveled__6.png] | Snow White Beveled [https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__snow-white-beveled__1.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__snow-white-beveled__2.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__snow-white-beveled__3.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__snow-white-beveled__4.png] | Biscuit Beveled [https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__biscuit-beveled__1.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__biscuit-beveled__2.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__biscuit-beveled__3.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__biscuit-beveled__4.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__biscuit-beveled__5.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__biscuit-beveled__6.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__biscuit-beveled__7.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__biscuit-beveled__8.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__biscuit-beveled__9.png]","https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__white-ice-wavy__1.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__white-ice-wavy__2.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__white-ice-beveled__1.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__white-ice-beveled__2.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__white-ice-beveled__3.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__white-ice-beveled__4.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__tender-gray-beveled__1.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__tender-gray-beveled__2.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__tender-gray-beveled__3.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__tender-gray-beveled__4.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__white-ice-waves__1.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__white-ice-waves__2.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__white-ice-waves__3.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__white-reverse-beveled__1.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__white-reverse-beveled__2.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__white-reverse-beveled__3.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__white-reverse-beveled__4.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__white-reverse-beveled__5.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__white-reverse-beveled__6.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__tender-gray-reverse-beveled__1.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__tender-gray-reverse-beveled__2.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__tender-gray-reverse-beveled__3.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__tender-gray-reverse-beveled__4.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__tender-gray-reverse-beveled__5.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__tender-gray-reverse-beveled__6.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__snow-white-beveled__1.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__snow-white-beveled__2.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__snow-white-beveled__3.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__snow-white-beveled__4.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__biscuit-beveled__1.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__biscuit-beveled__2.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__biscuit-beveled__3.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__biscuit-beveled__4.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__biscuit-beveled__5.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__biscuit-beveled__6.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__biscuit-beveled__7.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__biscuit-beveled__8.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/cc-textures__biscuit-beveled__9.png","https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/lifestyle/cc-textures__lifestyle__1.jpg; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/lifestyle/cc-textures__lifestyle__2.jpg",""
"Calacata Gold","Slabs","Matte & Polished Porcelain - Ceramic Wall","MA RBLES","The Calacata Gold generates unique atmospheres and vivid spaces offering a balance between its matte and polished finishes. Also adding warmth through the it's gold veining, making way for versatile combinations with different elements.","24""x48"" R; 12""x24"" R; 12""x24""","2","Gold | Calacata Gold","Gold [https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/calacata-gold__gold__1.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/calacata-gold__gold__2.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/calacata-gold__gold__3.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/calacata-gold__gold__4.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/calacata-gold__gold__5.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/calacata-gold__gold__6.png] | Calacata Gold [https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/calacata-gold__calacata-gold__1.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/calacata-gold__calacata-gold__2.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/calacata-gold__calacata-gold__3.png]","https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/calacata-gold__gold__1.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/calacata-gold__gold__2.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/calacata-gold__gold__3.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/calacata-gold__gold__4.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/calacata-gold__gold__5.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/calacata-gold__gold__6.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/calacata-gold__calacata-gold__1.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/calacata-gold__calacata-gold__2.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/calacata-gold__calacata-gold__3.png","https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/lifestyle/calacata-gold__lifestyle__1.jpg; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/lifestyle/calacata-gold__lifestyle__2.jpg",""
"Calacata Light","Slabs","Matte & Polished Porcelain","MARBLES - STONES - CONCRETES","Inspired by the finest marbles around the world, our Slabs collection allows you to accomplish the look and feel of marble without the price tag. Create stunning, awe-inspiring floors, or get creative and use for accent walls or even countertops, the possibilities are endless.","48""x48"" R; 24""x48"" R","1","Calacata Light","Calacata Light [https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/calacata-light__calacata-light__1.png]","https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/calacata-light__calacata-light__1.png","https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/lifestyle/calacata-light__lifestyle__1.jpg",""
