"Product Name","Category","Material Type","Style","Description","Available Sizes","Color Variants Count","Color Variants","Color Variants Detailed","Swatch Image URLs","Lifestyle / Room Image URLs","Price"
"Petra Grey","XL Slabs","Matte Porcelain","MARBLES - STONES - CONCRETES","","63""x126"" R","1","Petra Grey","Petra Grey [https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/petra-grey__petra-grey__1.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/petra-grey__petra-grey__2.png]","https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/petra-grey__petra-grey__1.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/petra-grey__petra-grey__2.png","https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/lifestyle/petra-grey__lifestyle__1.jpg; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/lifestyle/petra-grey__lifestyle__2.jpg",""
"Riviere Cacao","XL Slabs","Matte Porcelain","MARBLES - STONES - CONCRETES","","48”x110” R","1","Riviere Cacao","Riviere Cacao [https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/riviere-cacao__riviere-cacao__1.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/riviere-cacao__riviere-cacao__2.png]","https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/riviere-cacao__riviere-cacao__1.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/riviere-cacao__riviere-cacao__2.png","https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/lifestyle/riviere-cacao__lifestyle__1.jpg",""
"Riviere Gris","XL Slabs","Matte Porcelain","MARBLES - STONES - CONCRETES","","48”x110” R","1","Riviere Gris","Riviere Gris [https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/riviere-gris__riviere-gris__1.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/riviere-gris__riviere-gris__2.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/riviere-gris__riviere-gris__3.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/riviere-gris__riviere-gris__4.png]","https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/riviere-gris__riviere-gris__1.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/riviere-gris__riviere-gris__2.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/riviere-gris__riviere-gris__3.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/riviere-gris__riviere-gris__4.png","https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/lifestyle/riviere-gris__lifestyle__1.jpg",""
"Rosso Lepanto","XL Slabs","Polished Porcelain","MARBLES - STONES - CONCRETES","","48""x98"" R","1","Rosso Lepanto","Rosso Lepanto [https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/rosso-lepanto__rosso-lepanto__1.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/rosso-lepanto__rosso-lepanto__2.png]","https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/rosso-lepanto__rosso-lepanto__1.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/rosso-lepanto__rosso-lepanto__2.png","https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/lifestyle/rosso-lepanto__lifestyle__1.jpg",""
"Serena Crosscut Bone","XL Slabs","Matte Porcelain","MARBLES - STONES - CONCRETES","","48”x110” R","1","Serena Crosscut Bone","Serena Crosscut Bone [https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/serena-crosscut-bone__serena-crosscut-bone__1.png]","https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/serena-crosscut-bone__serena-crosscut-bone__1.png","https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/lifestyle/serena-crosscut-bone__lifestyle__1.jpg",""
"Serena Crosscut Moka","XL Slabs","Matte Porcelain","MARBLES - STONES - CONCRETES","","48”x110” R","1","Serena Crosscut Moka","Serena Crosscut Moka [https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/serena-crosscut-moka__serena-crosscut-moka__1.png]","https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/serena-crosscut-moka__serena-crosscut-moka__1.png","https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/lifestyle/serena-crosscut-moka__lifestyle__1.jpg",""
"Serena Veincut Bone","XL Slabs","Matte Porcelain","MARBLES - STONES - CONCRETES","","48”x110” R","1","Serena Veincut Bone","Serena Veincut Bone [https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/serena-veincut-bone__serena-veincut-bone__1.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/serena-veincut-bone__serena-veincut-bone__2.png]","https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/serena-veincut-bone__serena-veincut-bone__1.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/serena-veincut-bone__serena-veincut-bone__2.png","https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/lifestyle/serena-veincut-bone__lifestyle__1.jpg",""
"Serena Veincut Moka","XL Slabs","Matte Porcelain","MARBLES - STONES - CONCRETES","","48”x110” R","1","Serena Veincut Moka","Serena Veincut Moka [https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/serena-veincut-moka__serena-veincut-moka__1.png]","https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/serena-veincut-moka__serena-veincut-moka__1.png","https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/lifestyle/serena-veincut-moka__lifestyle__1.jpg",""
"Taj Mahal","XL Slabs","Polished Porcelain","MARBLES - STONES - CONCRETES","","48""x98"" R; 24""x48"" R","11","Taj Mahal | walls, and areas that require a touch of exclusivity. | sophistication and beauty of the natural stone of | the same name, known for its warm tones and soft | textures. It features a surface with shades ranging | from light beige to soft gold, with organic veins | that flow delicately, giving it a naturaland elegant | appearance. Ideal for creating warm and sophisticated | environments, this porcelain tile combines the refined | aesthetic of Taj Mahal quartzite with the durability and | practicality of porcelain, making it perfect for floors,","Taj Mahal [https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/taj-mahal__taj-mahal__1.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/taj-mahal__taj-mahal__2.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/taj-mahal__taj-mahal__3.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/taj-mahal__taj-mahal__4.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/taj-mahal__taj-mahal__5.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/taj-mahal__taj-mahal__6.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/taj-mahal__taj-mahal__7.png] | walls, and areas that require a touch of exclusivity. [https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/taj-mahal__walls-and-areas-that-require-a-touch-of-exclusivity__1.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/taj-mahal__walls-and-areas-that-require-a-touch-of-exclusivity__2.png] | sophistication and beauty of the natural stone of [no image extracted] | the same name, known for its warm tones and soft [no image extracted] | textures. It features a surface with shades ranging [no image extracted] | from light beige to soft gold, with organic veins [no image extracted] | that flow delicately, giving it a naturaland elegant [no image extracted] | appearance. Ideal for creating warm and sophisticated [no image extracted] | environments, this porcelain tile combines the refined [no image extracted] | aesthetic of Taj Mahal quartzite with the durability and [no image extracted] | practicality of porcelain, making it perfect for floors, [no image extracted]","https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/taj-mahal__taj-mahal__1.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/taj-mahal__taj-mahal__2.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/taj-mahal__taj-mahal__3.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/taj-mahal__taj-mahal__4.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/taj-mahal__taj-mahal__5.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/taj-mahal__taj-mahal__6.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/taj-mahal__taj-mahal__7.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/taj-mahal__walls-and-areas-that-require-a-touch-of-exclusivity__1.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/taj-mahal__walls-and-areas-that-require-a-touch-of-exclusivity__2.png","https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/lifestyle/taj-mahal__lifestyle__1.jpg; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/lifestyle/taj-mahal__lifestyle__2.jpg",""
"Topazio","XL Slabs","Polished Porcelain","MARBLES - STONES - CONCRETES","","48""x98"" R","1","Topazio","Topazio [https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/topazio__topazio__1.png, https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/topazio__topazio__2.png]","https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/topazio__topazio__1.png; https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/swatches/topazio__topazio__2.png","https://raw.githubusercontent.com/arzL2o/roca-tile-2026-images/main/lifestyle/topazio__lifestyle__1.jpg",""
